What is the primary trade-off in cybersecurity?	The battle between achieving desired behaviors and preventing undesired behaviors.

Why is security often considered secondary to functionality?	Organizations prioritize functionality because no product means no need for security.

What does the CIA Triad stand for?	Confidentiality, Integrity, Availability.

What does confidentiality in cybersecurity mean?	Keeping sensitive information secret.

What does integrity in cybersecurity refer to?	Ensuring that data remains unchanged and accurate.

What is meant by availability in cybersecurity?	Ensuring timely and reliable access to information and services.

What are the Three A's in cybersecurity?	Authentication, Authorization, Accounting.

What is the purpose of authentication?	To confirm someone's identity.

What does authorization ensure?	It confirms someone's permissions to access resources.

What is risk in cybersecurity?	Risk is defined as the likelihood of an event occurring multiplied by its impact.

What are the steps involved in threat modeling?	Identifying assets, understanding architecture, recognizing threats, assessing risks, and defining mitigation strategies.

What is a vulnerability in cybersecurity?	Weak points in the system that can be exploited by attackers.

What is an exploit?	A vulnerability that can be taken advantage of by an attacker.

What are attack vectors?	Methods used to attack a system.

What is an attack surface?	The collection of system components that can be exploited by attackers.

What are the goals of malicious actors?	Theft, espionage, and sabotage.

What distinguishes hacking from insider threats?	Hacking involves gaining access from outside an organization, while insider threats come from within.

What is adversarial thinking in cybersecurity?	Understanding potential attacks to secure a system effectively.

What are common threats in information security?	Malware, privilege escalation, stolen credentials, and data tampering.

What are some countermeasures for system security?	Authentication, encapsulation, isolation, anti-virus, and system logging.

What is the role of network security?	To ensure that devices only access authorized information and prevent unauthorized access.

What is eavesdropping in network security?	Monitoring communication between users.

What is the purpose of cryptography?	To transform data into an unreadable format for unauthorized users.

What is a Distributed Denial of Service (DDoS) attack?	An attack that prevents normal users from accessing a service.

What is the significance of physical security in cybersecurity?	It involves managing risks in data centers, including pest control and environmental threats.

What is the most effective way to defend a system?	Powering off the system or cutting network connections to prevent hacking.

What are the five key objectives of cryptography?	Confidentiality, integrity, authenticity, non-repudiation, and access control.

What is the difference between a block cipher and a stream cipher?	A block cipher encrypts data block by block and requires padding, while a stream cipher encrypts data as it flows without padding.

What is a substitution cipher?	A method of encryption that converts one letter to another.

What is a transposition cipher?	A method of encryption that changes the position of letters in the text.

What is the only cipher that can achieve unconditional security?	One-time pad.

What is symmetric encryption?	A method where the same key is used for both encryption and decryption.

What is asymmetric encryption?	A method that uses mathematically related key pairs for encryption and decryption, involving public and private keys.

What is hybrid encryption?	A method that combines symmetric and asymmetric encryption, using asymmetric to distribute a symmetric key.

What is at-rest encryption?	Encryption of data when it is stored on a cloud server.

What is in-transit encryption?	Encryption of data while it is being transmitted to or from a cloud server.

What is the purpose of TLS in in-transit encryption?	To secure data during transmission by establishing a secure connection between client and server.

What is homomorphic encryption?	A method that allows computations on encrypted data without needing to decrypt it first.

What are the types of homomorphic encryption?	Partially homomorphic encryption (PHE), somewhat homomorphic encryption (SHE), and fully homomorphic encryption (FHE).

